timestamp,time (gmt),value,lowPass,highPass,highPassAdaptiveMean
1495414946.262544,42877.043360,235.0000,241.9161,0.2705,0.0000
1495414946.389666,42877.043361,240.0000,241.7245,0.0395,0.0000
1495414946.523716,42877.043363,199.0000,237.4521,-2.1165,0.0000
1495414946.654271,42877.043364,328.0000,246.5069,3.4691,0.0000
1495414946.781247,42877.043366,263.0000,248.1562,2.5592,0.0000
1495414946.908016,42877.043367,234.0000,246.7406,0.5718,0.0000
1495414947.035472,42877.043368,199.0000,241.9665,-2.1011,0.0000
1495414947.163900,42877.043370,263.0000,244.0699,0.0011,0.0000
1495414947.290684,42877.043371,269.0000,246.5629,1.2471,0.0000
1495414947.417536,42877.043373,249.0000,246.8066,0.7454,0.0000
1495414947.548034,42877.043374,197.0000,241.8259,-2.1176,0.0000
1495414947.680247,42877.043376,201.0000,237.7433,-3.1001,0.0000
1495414947.807059,42877.043377,293.0000,243.2690,1.2128,0.0000
1495414947.933931,42877.043379,273.0000,246.2421,2.0929,0.0000
1495414948.060794,42877.043380,255.0000,247.1179,1.4844,0.0000
1495414948.187825,42877.043382,276.0000,250.0061,2.1863,0.0000
1495414948.316017,42877.043383,313.0000,256.3055,4.2428,0.0000
1495414948.454413,42877.043385,249.0000,255.5749,1.7561,0.0000
1495414948.593090,42877.043386,215.0000,251.5174,-1.1507,0.0000
1495414948.742820,42877.043388,200.0000,246.3657,-3.1512,0.0000
1495414948.870071,42877.043390,286.0000,250.3291,0.4061,0.0000
1495414948.996698,42877.043391,200.0000,245.2962,-2.3134,0.0000
1495414949.123419,42877.043393,201.0000,240.8666,-3.3715,0.0000
1495414949.254137,42877.043394,262.0000,242.9799,-0.6291,0.0000
1495414949.382650,42877.043396,199.0000,238.5819,-2.5135,0.0000
1495414949.510743,42877.043397,270.0000,241.7237,0.3141,0.0000
1495414949.637443,42877.043399,272.0000,244.7514,1.6709,0.0000
1495414949.764418,42877.043400,410.0000,261.2762,9.0979,0.0000
1495414949.890988,42877.043402,273.0000,262.4486,5.1351,0.0000
1495414950.019234,42877.043403,269.0000,263.1038,2.8951,0.0000
1495414950.146878,42877.043404,281.0000,264.8934,2.3424,0.0000
1495414950.274084,42877.043406,200.0000,258.4040,-2.0735,0.0000
1495414950.401207,42877.043407,199.0000,252.4636,-4.0069,0.0000
1495414950.528265,42877.043409,260.0000,253.2173,-1.6267,0.0000
1495414950.655505,42877.043410,279.0000,255.7955,0.4758,0.0000
1495414950.784090,42877.043412,348.0000,265.0160,4.8481,0.0000
1495414950.910704,42877.043413,274.0000,265.9144,2.8733,0.0000
1495414951.038808,42877.043415,301.0000,269.4230,3.1909,0.0000
1495414951.171118,42877.043416,200.0000,262.4807,-1.8757,0.0000
1495414951.302065,42877.043418,227.0000,258.9326,-2.7119,0.0000
1495414951.428964,42877.043419,287.0000,261.7393,0.0474,0.0000
1495414951.555930,42877.043421,254.0000,260.9654,-0.3633,0.0000
1495414951.682978,42877.043422,245.0000,259.3689,-0.9799,0.0000
1495414951.812233,42877.043424,359.0000,269.3320,4.4916,0.0000
1495414951.942999,42877.043425,283.0000,270.6988,2.9292,0.0000
1495414952.069499,42877.043427,279.0000,271.5289,1.8797,1.7624
1495414952.208932,42877.043428,378.0000,282.1760,6.2634,0.0000
1495414952.338539,42877.043430,327.0000,286.6584,5.3729,0.0000
1495414952.464923,42877.043431,265.0000,284.4926,1.6035,0.0000
1495414952.591353,42877.043433,201.0000,276.1433,-3.3729,0.0000
1495414952.717859,42877.043434,199.0000,268.4290,-5.5436,0.0000
1495414952.855362,42877.043436,201.0000,261.6861,-6.1432,0.0000
1495414952.982365,42877.043437,287.0000,264.2175,-1.8059,0.0000
1495414953.108799,42877.043439,258.0000,263.5957,-1.2138,0.0000
1495414953.235252,42877.043440,265.0000,263.7362,-0.5367,0.0000
1495414953.361796,42877.043442,252.0000,262.5625,-0.8552,0.0000
1495414953.501885,42877.043443,275.0000,263.8063,0.1943,0.0000
1495414953.639697,42877.043445,200.0000,257.4257,-3.0932,0.0000
1495414953.779890,42877.043447,198.0000,251.4831,-4.5179,0.0000
1495414953.924806,42877.043448,208.0000,247.1348,-4.4331,0.0000
1495414954.063403,42877.043450,253.0000,247.7213,-1.9233,0.0000
1495414954.202390,42877.043451,206.0000,243.5492,-3.0477,0.0000
1495414954.340273,42877.043453,261.0000,245.2943,-0.6513,0.0000
1495414954.482289,42877.043455,241.0000,244.8648,-0.5404,0.0000
1495414954.620299,42877.043456,238.0000,244.1783,-0.6134,0.0000
1495414954.758339,42877.043458,237.0000,243.4605,-0.6656,0.0000
1495414954.900918,42877.043460,201.0000,239.2145,-2.4558,0.0000
1495414955.038971,42877.043461,277.0000,242.9930,0.6614,0.0000
1495414955.177021,42877.043463,234.0000,242.0937,-0.1190,0.0000
1495414955.315087,42877.043464,200.0000,237.8843,-2.1642,0.0000
1495414955.458952,42877.043466,203.0000,234.3959,-2.8263,0.0000
1495414955.601015,42877.043468,261.0000,237.0563,-0.0829,0.0000
1495414955.739013,42877.043469,206.0000,233.9507,-1.5943,0.0000
1495414955.883037,42877.043471,205.0000,231.0556,-2.2447,0.0000
1495414956.021612,42877.043472,269.0000,234.8501,0.7749,0.0000
1495414956.148216,42877.043474,249.0000,236.2650,1.0949,0.0000
1495414956.274878,42877.043475,267.0000,239.3385,2.0842,0.0000
1495414956.405924,42877.043477,318.0000,247.2047,4.9752,0.0000
1495414956.534933,42877.043478,271.0000,249.5842,3.6774,0.0000
1495414956.661709,42877.043480,200.0000,244.6258,-0.6405,0.0000
1495414956.788560,42877.043481,258.0000,245.9632,0.3484,0.0000
1495414956.915378,42877.043483,262.0000,247.5669,0.9761,0.0000
